Fertilizer,BulbWt,Cloves,BedID
4,0.20901,11.5062,30402
3,0.25792,12.255,23423
2,0.21588,12.0982,20696
4,0.24754,12.9199,25412
1,0.24402,12.5793,10575
3,0.2015,10.6891,21466
1,0.20891,11.5416,14749
4,0.15173,14.0173,25342
2,0.24114,9.9072,20383
3,0.2335,11.213,23306
3,0.21481,11.2933,22730
2,0.1956,10.0428,19533
3,0.22271,11.4917,23104
2,0.15851,12.4579,19316
4,0.17713,12.6372,25759
1,0.23277,11.1439,18057
3,0.23229,12.5118,22934
3,0.18914,12.1337,21414
1,0.20161,13.116,14158
3,0.21213,11.8415,22006
1,0.25285,12.0435,18652
2,0.22152,11.6716,20805
1,0.25362,11.4838,16662
1,0.24118,12.5481,14607
3,0.25785,10.1495,22981
3,0.27828,10.7842,22741
3,0.2279,11.7475,24758
1,0.2053,12.0564,14192
1,0.1884,13.0964,14578
2,0.23194,10.9575,20897
2,0.18979,12.0743,19493
2,0.21414,12.7071,19588
