Purchase,Gender,Income,Age
0,Female,Low,40
0,Female,Low,46
1,Female,Low,41
1,Female,Low,39
0,Female,Low,31
0,Female,Low,31
0,Female,Low,32
0,Female,Low,44
0,Female,Low,42
0,Female,Low,39
0,Female,Low,38
1,Female,Low,46
0,Female,Low,37
0,Female,Low,37
1,Female,Low,44
0,Female,Low,38
0,Female,Low,25
0,Female,Low,44
0,Female,Low,39
0,Female,Low,34
1,Female,Low,30
0,Female,Low,43
1,Female,Low,47
1,Female,Low,35
0,Female,Low,35
0,Female,Low,33
1,Female,Low,38
0,Female,Low,37
0,Female,Low,46
0,Female,Low,40
0,Female,Low,44
1,Female,Low,37
1,Female,Low,38
1,Female,Low,29
1,Female,Low,40
0,Female,Low,34
0,Female,Low,43
0,Female,Low,38
1,Female,Low,50
1,Female,Low,41
0,Female,Low,40
0,Female,Low,39
1,Female,Low,38
1,Female,Low,36
1,Female,Low,37
0,Female,Low,38
0,Female,Low,40
1,Female,Low,33
1,Female,Low,51
0,Female,Low,30
0,Female,Low,30
0,Female,Low,34
0,Female,Low,45
1,Female,Low,39
0,Female,Low,46
0,Female,Low,39
1,Female,Low,56
0,Female,Low,35
0,Female,Low,36
0,Female,Low,35
0,Female,Low,43
1,Female,Low,36
0,Female,Low,39
1,Female,Low,38
0,Female,Low,34
1,Female,Low,35
0,Female,Low,44
0,Female,Low,40
0,Female,Low,41
1,Female,Low,37
0,Female,Low,54
1,Female,Low,41
1,Female,Low,33
1,Female,Low,36
0,Female,Low,32
0,Female,Low,37
0,Female,Low,37
0,Female,Low,54
0,Female,Low,49
1,Female,Low,31
1,Female,Low,37
1,Female,Low,37
0,Female,Low,37
0,Female,Low,40
0,Female,Low,41
1,Female,Low,34
1,Female,Low,31
0,Female,Low,27
1,Female,Low,35
1,Female,Medium,39
0,Female,Medium,38
1,Female,Medium,34
1,Female,Medium,45
0,Female,Medium,40
0,Female,Medium,41
0,Female,Medium,45
0,Female,Medium,41
0,Female,Medium,32
1,Female,Medium,47
1,Female,Medium,39
0,Female,Medium,40
0,Female,Medium,32
0,Female,Medium,42
1,Female,Medium,31
1,Female,Medium,43
0,Female,Medium,44
1,Female,Medium,48
0,Female,Medium,39
1,Female,Medium,35
0,Female,Medium,32
1,Female,Medium,34
1,Female,Medium,43
0,Female,Medium,34
1,Female,Medium,31
0,Female,Medium,47
1,Female,Medium,36
0,Female,Medium,38
0,Female,Medium,36
0,Female,Medium,39
0,Female,Medium,38
1,Female,Medium,44
0,Female,Medium,34
0,Female,Medium,32
1,Female,Medium,34
0,Female,Medium,49
1,Female,Medium,44
0,Female,Medium,39
0,Female,Medium,35
1,Female,Medium,41
1,Female,Medium,37
1,Female,Medium,38
0,Female,Medium,37
1,Female,Medium,41
0,Female,Medium,35
0,Female,Medium,41
1,Female,Medium,43
0,Female,Medium,42
0,Female,Medium,49
0,Female,Medium,41
0,Female,Medium,41
0,Female,Medium,37
0,Female,Medium,32
0,Female,Medium,38
1,Female,Medium,41
1,Female,Medium,44
0,Female,Medium,41
1,Female,Medium,33
1,Female,Medium,49
0,Female,Medium,39
1,Female,Medium,37
0,Female,Medium,37
0,Female,Medium,35
0,Female,Medium,38
1,Female,Medium,34
0,Female,Medium,43
1,Female,Medium,34
0,Female,Medium,38
1,Female,Medium,38
1,Female,Medium,34
1,Female,Medium,52
1,Female,High,41
0,Female,High,40
0,Female,High,36
0,Female,High,44
0,Female,High,43
1,Female,High,35
0,Female,High,29
0,Female,High,27
1,Female,High,40
0,Female,High,32
1,Female,High,44
0,Female,High,38
0,Female,High,41
0,Female,High,30
0,Female,High,28
0,Female,High,48
1,Female,High,33
1,Female,High,35
0,Female,High,33
1,Female,High,40
1,Female,High,40
0,Female,High,31
1,Female,High,38
1,Female,High,23
1,Female,High,49
1,Female,High,39
0,Female,High,31
0,Female,High,42
1,Female,High,38
0,Female,High,33
0,Female,High,37
0,Female,High,34
0,Female,High,44
1,Female,High,28
1,Female,High,35
0,Female,High,25
1,Female,High,38
1,Female,High,34
1,Female,High,46
0,Female,High,34
0,Female,High,35
0,Female,High,36
0,Female,High,47
0,Female,High,40
0,Female,High,39
1,Female,High,51
1,Female,High,45
0,Female,High,32
1,Female,High,37
1,Female,High,36
0,Female,High,41
1,Female,High,51
1,Female,High,51
1,Female,High,41
1,Female,High,26
1,Female,High,49
0,Female,High,45
0,Female,High,40
0,Female,High,39
1,Female,High,44
0,Female,High,34
0,Female,High,39
0,Female,High,36
1,Female,High,32
1,Female,High,45
1,Female,High,29
1,Female,High,41
1,Female,High,39
0,Female,High,25
0,Female,High,29
1,Female,High,38
0,Female,High,34
0,Female,High,38
0,Female,High,23
0,Female,High,31
0,Female,High,45
1,Female,High,40
0,Female,High,37
1,Female,High,42
0,Female,High,42
0,Male,Low,28
0,Male,Low,57
0,Male,Low,39
0,Male,Low,34
0,Male,Low,46
0,Male,Low,32
0,Male,Low,39
0,Male,Low,36
0,Male,Low,36
0,Male,Low,39
0,Male,Low,35
0,Male,Low,31
0,Male,Low,36
1,Male,Low,49
0,Male,Low,37
1,Male,Low,36
0,Male,Low,41
0,Male,Low,43
0,Male,Low,37
0,Male,Low,39
0,Male,Low,40
0,Male,Low,39
0,Male,Low,46
1,Male,Low,39
0,Male,Low,37
0,Male,Low,42
0,Male,Low,45
1,Male,Low,48
1,Male,Low,38
0,Male,Low,34
0,Male,Low,37
0,Male,Low,36
0,Male,Low,31
0,Male,Low,28
1,Male,Low,41
1,Male,Low,39
0,Male,Low,39
1,Male,Low,48
0,Male,Low,36
0,Male,Low,39
0,Male,Low,41
0,Male,Low,41
0,Male,Low,37
0,Male,Medium,45
0,Male,Medium,44
0,Male,Medium,32
0,Male,Medium,33
1,Male,Medium,33
0,Male,Medium,41
1,Male,Medium,47
0,Male,Medium,42
0,Male,Medium,34
0,Male,Medium,42
1,Male,Medium,33
0,Male,Medium,25
0,Male,Medium,33
0,Male,Medium,42
0,Male,Medium,40
0,Male,Medium,37
0,Male,Medium,24
1,Male,Medium,45
0,Male,Medium,36
0,Male,Medium,33
0,Male,Medium,38
0,Male,Medium,31
0,Male,Medium,43
0,Male,Medium,38
0,Male,Medium,29
0,Male,Medium,35
0,Male,Medium,44
0,Male,Medium,38
0,Male,Medium,43
0,Male,Medium,46
0,Male,Medium,45
1,Male,Medium,34
1,Male,Medium,38
0,Male,Medium,30
0,Male,Medium,33
1,Male,Medium,33
0,Male,Medium,37
1,Male,Medium,43
0,Male,Medium,42
1,Male,Medium,47
0,Male,Medium,40
1,Male,Medium,37
1,Male,Medium,38
0,Male,Medium,37
1,Male,Medium,35
0,Male,Medium,33
0,Male,Medium,32
0,Male,Medium,39
0,Male,Medium,38
0,Male,Medium,40
1,Male,Medium,44
0,Male,Medium,36
0,Male,Medium,40
0,Male,Medium,44
0,Male,Medium,28
0,Male,Medium,39
0,Male,Medium,39
0,Male,Medium,34
0,Male,Medium,48
0,Male,Medium,39
0,Male,Medium,37
0,Male,Medium,40
0,Male,Medium,34
0,Male,Medium,32
0,Male,Medium,46
0,Male,Medium,35
0,Male,Medium,36
0,Male,Medium,39
1,Male,Medium,44
0,Male,Medium,47
1,Male,Medium,43
0,Male,Medium,40
0,Male,Medium,29
0,Male,High,41
0,Male,High,32
1,Male,High,41
0,Male,High,32
0,Male,High,36
1,Male,High,42
0,Male,High,24
1,Male,High,39
0,Male,High,38
0,Male,High,35
0,Male,High,42
0,Male,High,40
0,Male,High,33
0,Male,High,36
1,Male,High,46
1,Male,High,42
0,Male,High,39
0,Male,High,40
1,Male,High,39
1,Male,High,34
1,Male,High,35
1,Male,High,35
0,Male,High,43
1,Male,High,45
1,Male,High,38
0,Male,High,38
0,Male,High,37
0,Male,High,42
0,Male,High,30
1,Male,High,45
1,Male,High,36
1,Male,High,33
1,Male,High,49
1,Male,High,41
1,Male,High,41
1,Male,High,31
0,Male,High,33
1,Male,High,39
0,Male,High,43
1,Male,High,46
0,Male,High,31
1,Male,High,52
0,Male,High,40
1,Male,High,48
0,Male,High,49
1,Male,High,38
0,Male,High,35
1,Male,High,34
1,Male,High,37
0,Male,High,37
0,Male,High,41
1,Male,High,33
1,Male,High,35
0,Male,High,29
0,Male,High,47
1,Male,High,35
0,Male,High,43
0,Male,High,40
0,Male,High,36
1,Male,High,35
0,Male,High,45
0,Male,High,36
1,Male,High,47
1,Male,High,39
1,Male,High,47
1,Male,High,45
1,Male,High,37
1,Male,High,37
1,Male,High,33
0,Male,High,39
1,Male,High,43
0,Male,High,30
1,Male,High,32
0,Male,High,33
0,Male,High,33
