"","Year","Prov","GDP"
"1","2014","广东",1103605
"2","2014","江苏",1059587
"3","2014","山东",967419
"4","2014","浙江",653668
"5","2014","河南",568786
"6","2014","河北",478953
"7","2014","辽宁",466018
"8","2014","四川",464555
"9","2014","湖北",445514
"10","2014","湖南",440328
"11","2014","福建",391609
"12","2014","上海",383554
"13","2014","北京",347249
"14","2014","安徽",339401
"15","2014","内蒙古",289274
"16","2014","陕西",287978
"17","2014","天津",255950
"18","2014","江西",255724
"19","2014","广西",255144
"20","2014","黑龙江",244829
"21","2014","重庆",232230
"22","2014","吉林",224715
"23","2014","云南",208612
"24","2014","山西",207714
"25","2014","新疆",150812
"26","2014","贵州",150599
"27","2014","甘肃",111273
"28","2014","海南",56989
"29","2014","宁夏",44802
"30","2014","青海",37460
"31","2014","西藏",14990
"32","2013","广东",1003746
"33","2013","江苏",955269
"34","2013","山东",882974
"35","2013","浙江",606609
"36","2013","河南",519212
"37","2013","河北",456976
"38","2013","辽宁",437216
"39","2013","四川",424026
"40","2013","湖北",398316
"41","2013","湖南",395622
"42","2013","福建",351347
"43","2013","上海",348804
"44","2013","北京",314871
"45","2013","安徽",307416
"46","2013","内蒙古",271788
"47","2013","陕西",259078
"48","2013","黑龙江",232237
"49","2013","广西",232158
"50","2013","天津",232031
"51","2013","江西",231520
"52","2013","吉林",209608
"53","2013","重庆",204364
"54","2013","山西",203485
"55","2013","云南",189255
"56","2013","新疆",134991
"57","2013","贵州",129284
"58","2013","甘肃",101208
"59","2013","海南",50805
"60","2013","宁夏",41417
"61","2013","青海",33925
"62","2013","西藏",13041
"63","2012","广东",904046
"64","2012","江苏",856368
"65","2012","山东",792289
"66","2012","浙江",549154
"67","2012","河南",468900
"68","2012","河北",420990
"69","2012","辽宁",393607
"70","2012","四川",378183
"71","2012","湖北",352482
"72","2012","湖南",350958
"73","2012","上海",319710
"74","2012","福建",312107
"75","2012","北京",283238
"76","2012","安徽",272666
"77","2012","内蒙古",251574
"78","2012","陕西",228969
"79","2012","黑龙江",216896
"80","2012","广西",206497
"81","2012","江西",205131
"82","2012","天津",204259
"83","2012","山西",191886
"84","2012","吉林",189136
"85","2012","重庆",180746
"86","2012","云南",163318
"87","2012","新疆",118896
"88","2012","贵州",108550
"89","2012","甘肃",89508
"90","2012","海南",45236
"91","2012","宁夏",37090
"92","2012","青海",29997
"93","2012","西藏",11105
